Content,Video title,Video publish time,Dislikes,Likes,Average percentage viewed (%),Average view duration,RPM (USD),Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,35236,2375177,51.97,0:04:01,2.601,55751828,3734669.1906,162635,510327070,7.04
49tsEEx7EqM,Explaining Competitive Pokemon's Greatest Game of All Time,"Aug 9, 2022",2285,65116,54.3,0:06:33,4.277,1683316,184059.5008,9873,26554504,4.52
bfdAM8phWjY,Interesting Competitive Pokémon Gimmicks,"Mar 24, 2024",2202,5475,49.99,0:08:09,4.459,134621,18301.9311,-511,1280272,6.67
tThU_WgtROc,Why Terastalization Should Be Banned,"Dec 15, 2022",1118,5341,41.78,0:08:46,6.29,149961,21906.6409,132,1101368,9.13
S4eMLU6JcrY,Competitive Pokémon's Greatest Cheating Scandal: The Mazar Story,"Nov 22, 2022",858,30347,61.13,0:07:01,4.513,1184512,138775.9001,2819,17521490,4.78
gSqwpTWRZRU,Pokemon's Rarest Field Condition,"Oct 25, 2023",701,60762,103.86,0:00:44,0.13,889156,11030.3939,462,2369729,5.8
LNUZOpvjY8A,Brute Bonnet's Stats Are Secretly Genius. Here's Why.,"Apr 14, 2023",582,37367,93.7,0:00:49,0.086,604562,8339.9564,371,1198341,8.5
BotseJq2y0k,How To Beat Pokémon's Most INSANE Challenge,"Sep 13, 2022",566,24339,49.84,0:04:00,3.103,702633,46889.3875,1612,9997511,5.52
6zruui3yeBk,Explaining Pokemon's Greatest Ragequit of All Time,"Sep 2, 2022",560,25337,58.68,0:04:42,3.768,740066,58136.5395,2187,7471697,7.09
p1U7tfxs2yQ,Was MrBeast's Pokemon Team Good?,"Apr 12, 2023",509,20779,85.38,0:00:45,0.087,353056,4437.7224,278,1969256,6.63
k_AJo-_AeTY,Is Palafin Stronger Than Gen 8 Dracovish?,"May 17, 2023",490,31925,88.4,0:00:50,0.1,578389,8095.1195,283,1444477,5.81
nyUkCjHJi54,Why Palafin is Uniquely Overpowered,"Nov 23, 2022",463,17159,46.74,0:03:45,4.055,984932,61637.801,953,7534224,10.57
qWmdtJpLBlg,The Most Unfortunate Event at a Pokemon Tournament,"Apr 18, 2023",447,36902,91.04,0:00:50,0.097,611798,8663.7427,297,1133290,7.47
L0AKoIKD7iA,How temp6t Beat the OU Council With a Lechonk,"Jan 18, 2023",445,22854,67.85,0:04:02,2.144,694934,46888.8189,1010,8707844,5.95
1sU3Ykoo9S8,How Pokemon Used to be Sexist,"May 16, 2023",408,15857,88.24,0:00:49,0.078,278473,3822.3636,178,2824336,5.32
g1WXxX3Vrkg,Charizard and Crocalor Are the Same Tier Competitively LOL,"May 24, 2023",335,21434,81.76,0:00:46,0.09,405787,5253.3355,254,991255,5.8
n4ErFaelqbg,Is Ferrothorn Homophobic in Competitive Pokemon?,"Aug 30, 2022",293,6845,39.73,0:03:06,1.941,115717,6000.8356,469,592270,13.62
CfjfS49B_rw,Top 5 Most Overpowered Pokemon in Scarlet and Violet,"Nov 19, 2022",287,9743,55.9,0:04:31,3.333,457834,34477.9427,721,4799365,6.99
bR__29uVbaw,How I Won Smogon's Biggest Tournament,"Jul 5, 2022",287,14306,41.96,0:12:00,5.892,450727,90240.2606,3245,11013187,2.47
J2MBTXuS_8A,How Critical Hits Created a New Playstyle,"Apr 8, 2022",259,6471,51.26,0:05:21,3.036,172925,15438.5108,284,816132,9.2
njewJ6HYOTo,Huh? When Float Stone Was Competitive Pokemon Relevant,"Apr 11, 2023",252,25982,94.13,0:00:51,0.088,395256,5684.2456,266,979191,8.32
AZaZfQBdQCQ,Why You MUST Nickname Pokémon in Competitive Battles in Generation 3,"Jan 7, 2022",230,21836,78.63,0:01:09,1.415,569802,11077.0404,833,3282985,12.04
yEVNqh7991c,Explaining Every Controversy at the Pokemon World Championship 2023,"Aug 19, 2023",228,6819,54.81,0:08:36,4.09,161205,23119.9027,199,1766843,6.17
zLylWdQY9Ic,The Complete History of Generation 8 Competitive Pokemon (Singles),"Nov 18, 2022",225,11464,31.97,0:16:09,7.949,441518,118882.5374,1597,9704242,2.36
fw0Cx5rA-IM,Why Competitive BDSP Pokemon Failed,"Oct 11, 2022",217,10755,55.63,0:04:36,3.727,292269,22446.3215,1036,2519241,8.64
QlxZjQmCS28,Most Genius Play at a Pokemon Tournament #pokemongame #pokemon #gaming,"Oct 2, 2023",216,14355,99.44,0:00:49,0.11,191907,2650.4469,176,445190,5.32
XNh3g0euEiU,What Makes Gholdengo So Dominant,"Dec 1, 2022",215,8227,46.28,0:03:43,4.066,309745,19193.7641,1197,1894423,13.01
e9lzvDJrhVY,Is Chi-Yu the Strongest Pokemon of ALL TIME?,"Dec 26, 2022",203,8350,55.11,0:04:46,2.796,259895,20649.1611,259,1844909,10.42
5jl3ccQuAqY,Competitive Pokemon With Low Stats But Are Actually Good (Singles),"Dec 30, 2022",202,10157,46.6,0:07:01,2.661,348490,40780.842,564,4257857,5.97
zgoUHAxpZEk,Why Life Orb Latios Lowers Its HP Stat Intentionally,"Oct 29, 2022",177,13773,83.52,0:00:49,0.069,226196,3096.0751,145,1253829,6.77
0LQe18FVwTM,Is Ting-Lu Ruining Competitive Pokemon?,"Apr 10, 2023",176,8300,58.57,0:05:30,2.693,209720,19278.7067,274,1678351,9.02
c90zlD21EmM,This  Subtle Pokémon Interaction Won Him The Battle,"Feb 22, 2024",174,18283,100.01,0:00:48,0.125,240819,3235.8485,164,689432,5.99
N7EvYSsbcqY,Kakuna is Banned from Competitive Gen 3 UU. Here's Why.,"Dec 31, 2021",173,6530,60.37,0:02:20,2.042,167402,6540.7624,565,736388,15.98
R6yfO58NLrc,Every Bad Legendary Pokemon,"Apr 24, 2022",172,9122,51.54,0:05:46,2.822,330693,31813.9679,455,3763267,6.27
nEUALn1APEM,"Pokemon, But You Can Use Any Ability","Jun 10, 2022",172,11965,57.23,0:04:56,3.581,415024,34175.3077,2224,4000585,7.81
1wx0I9cDI3E,Pokemon's Most Hated Move,"Jan 29, 2024",169,12103,92.85,0:00:55,0.12,188573,2918.1794,86,371833,5.35
vcTqWFE1AIw,What if Slaking Didn't Have Truant?,"Mar 24, 2022",166,9029,55.16,0:04:47,3.917,224308,17940.3156,789,2205905,7.4
UWpz73CIFYg,The Genius Behind The Tournament Winning Articuno Team,"Mar 7, 2024",165,14468,52.16,0:05:04,3.738,325453,27491.1228,2154,3595387,6.24
BWyeuwfZKRw,Why Was Magby Banned in Little Cup Competiitve Pokemon?,"Nov 9, 2022",164,13673,84.14,0:00:50,0.056,238969,3350.999,149,912271,5.96
3Rjah1Pi2L0,Why Little Cup Players Want Shuckle To Return #pokemon,"Oct 9, 2023",162,15702,88.82,0:00:51,0.125,254869,3647.1909,79,827423,6.33
UcjWPHucEOc,Explaining the Best Competitive Pokémon Memes,"Mar 3, 2024",160,9429,57.95,0:07:16,2.505,195531,23701.366,261,2466782,5.12
rspinbuPtuE,Why Fire Fang Bypasses Wonder Guard in Gen 4 Pokemon,"May 11, 2023",159,10313,90.92,0:00:40,0.082,201607,2291.1654,63,925637,6.65
LZy_5BgJ_Rk,Pokemon Pro Explains All NEW DLC Pokemon,"Dec 17, 2023",157,5244,53.95,0:06:46,3.571,135106,15266.1624,312,1929152,5.53
IRcHWV2jhdM,What Makes an Arceus Type Bad?,"Apr 21, 2024",155,9989,49.67,0:06:35,3.566,279924,30779.6267,497,3554888,5.28
kKXe4ELj_HQ,Why Fire Fang Bypasses Wonder Guard in Generation 4 Pokemon,"Nov 5, 2022",151,9875,74.5,0:01:07,1.58,216888,4039.6476,345,1527462,11.35
9vFbXXVaQ5I,I Used Low Tier Pokemon in a Big Tournament,"Oct 7, 2023",150,15171,59.01,0:06:45,3.781,249042,28085.791,2182,3891321,4.64
2xHmfFsoAf0,Every Time People Used Low Level Pokémon Competitively,"Aug 19, 2022",149,8980,61.64,0:04:57,3.47,296262,24448.6025,483,2709968,7.95
eY7rdtzOwgY,Explaining Competitive Pokemon Memes (Part 1),"Dec 26, 2022",145,15035,82.93,0:00:39,0.027,248107,2743.4735,180,513515,5.02
UuLe6YmPi_k,Minun Uses One Move to Break The Pokemon Emerald Elite 4. Here's How.,"May 21, 2022",144,8593,56.28,0:03:30,2.537,224373,13118.7855,477,1932379,9.05
PifV0XOxjxk,How Eternatus Ruined Competitive Hacked Pokemon,"Mar 10, 2022",143,11929,77.29,0:02:00,1.573,463352,15519.6699,525,3312408,10.4
UUam5DYxQWY,The Worst Legendary Pokémon in Generation 8,"Mar 20, 2022",143,9970,61.17,0:05:48,3.392,297788,28789.4742,1004,3985803,5
WPNWBovc-cM,Explaining MY Greatest Competitive Pokemon Game of All Time,"Sep 6, 2022",142,10774,61.12,0:05:56,3.546,258716,25607.7556,1914,3076773,5.8
g_p3N2YsMHc,Explaining the Big 3 of Legendary Pokémon,"Jul 1, 2022",140,9548,58.38,0:04:58,2.917,282391,23399.0683,1256,2850928,7.32
Xd14MP47O3g,Competitive Pokemon's New Big 4 is EVERYWHERE,"Apr 25, 2023",136,12647,94.37,0:00:43,0.079,200867,2422.2341,110,1223380,7.79
VH6k8qfNmKA,Did You Know U-Turn Is Bugged in Pokémon Diamond?,"Jan 29, 2023",128,7770,89.85,0:00:44,0.067,150816,1844.4022,51,675712,6.56
qxRJwRq0lfY,Hitmontop to OU!,"May 3, 2022",128,5748,77.85,0:02:29,2.918,118895,4936.5305,916,702506,12.81
QdT49B8S-Ds,Cincinno Received a Major Buff In Gen 9...,"Feb 28, 2024",126,9107,98.86,0:00:43,0.127,120240,1452.8518,63,397448,5.7
oEGg_lKqK5M,How a Non-Legendary Pokémon is Dominating Ubers,"Feb 26, 2024",126,10031,47.98,0:04:22,2.342,360995,26364.4452,790,3918937,6.39
dj5s_eeazj4,Why Tatsugiri Used the Wrong Ability,"Mar 1, 2024",125,13505,97.65,0:00:46,0.135,188987,2460.5022,107,1300827,6.78
3R3SDrI38wI,I Shocked Everyone With This Never Used Pokemon Strategy,"Oct 22, 2023",124,16882,60.31,0:06:06,3.33,277884,28306.1511,1593,3763546,5.73
Y7BbVKFCRws,Pokemon Moves That Don't Work #pokemon,"Oct 8, 2023",123,12356,86.22,0:00:50,0.119,170243,2405.7511,98,517664,6.59
sCNbOl4w2FI,Fast Pokémon Can Ignore Trick Room. Here's How.,"Mar 16, 2024",121,17703,58.38,0:02:51,1.743,480032,22809.9805,594,5113514,6.67
A7LlmNt4IBQ,Top 10 Under Used Competitive Pokémon,"Feb 19, 2024",120,4237,47.9,0:08:55,4.392,91016,13527.9532,100,1076178,5.35
MBtE8OfNE1U,Kyurem-Black Holds TR43 as an Item in Competitive Ubers Pokemon. Here's Why.,"Apr 9, 2022",119,10724,79.95,0:01:47,1.662,297417,8850.1809,396,1868774,12.03
ihI7VqBEfIE,The Complete History of Competitive Hacked Pokemon PART 1,"Apr 21, 2023",119,9697,49.67,0:08:22,4.731,278549,38851.2361,447,4035102,4.65
dL30bkpiuWQ,Donphan Uses Magnitude in Competitive Gen 4 Pokemon. Here's Why.,"Jun 22, 2022",118,6853,72.15,0:03:24,2.885,143647,8176.3774,868,964038,11.37
aVKa0JB-lfQ,Kakuna Was Unbanned from Competitive Gen 3 UU. Here's Why.,"Jun 26, 2022",116,6274,54.95,0:04:45,3.315,161218,12796.9618,741,1273181,9.34
FOdeE96wkBw,Miraidon Uses Solar Beam Competitively. Here's Why. #pokemongame #pokemon #gaming,"Sep 10, 2023",115,9545,91.72,0:00:54,0.115,169588,2549.297,81,794038,5.91
Ms6201tOLNI,Non-Legendaries That Are Actually Good in Ubers,"Aug 4, 2022",115,8489,55.84,0:06:15,3.414,273515,28553.1144,1191,3315726,5.84
kNcBnV4BA10,Pokémon Pro Trapped By NEW Pokémon Escape Room,"Nov 22, 2023",114,5772,43.74,0:10:49,5.53,170507,30784.8846,238,3177045,4.13
z4-otZal7O4,What if Pokémon Had All Abilities AT THE SAME TIME?,"May 8, 2024",113,9435,52.41,0:06:12,3.072,239900,24796.3548,425,3252930,5.09
iBoEM5AQGUY,"He Stalls Me in World Cup of Pokemon, What Happens Next is Shocking...","Jun 19, 2022",108,7039,46.57,0:08:02,4.434,202609,27150.9891,619,3078370,4.72
17R271H7QeA,How I Used Struggle To Win At A Pokemon Tournament,"May 2, 2023",107,6606,94.1,0:00:41,0.079,103493,1190.2699,54,505166,5.52
uQvhqCxbkAg,Pro Answers Competitive Pokémon Questions From Reddit,"Apr 7, 2024",106,5792,58.54,0:05:04,2.563,100735,8517.8204,114,894698,7.31
LzLrLHmg_vk,How One Move Fixed the Worst Legendary Pokemon (Zamazenta),"May 13, 2024",105,9561,52.05,0:04:59,3.02,275002,22903.7476,526,2843620,6.65
a8RGWaKXgcE,Poliwrath is WORSE Than Poliwhirl in Competitive Gen 2 Pokemon. Here's Why.,"Feb 8, 2022",104,5106,85.81,0:01:21,1.714,113842,2577.9547,675,830066,9.49
oLe0rq-yZTo,Why This Format Refuses to Ban a Broken Strategy,"Mar 29, 2024",103,4624,53.79,0:05:56,3.646,117770,11665.4073,71,981967,7.89
sjel3avy7Dk,The Top 5 Types in Competitive Monotype Pokemon,"Oct 7, 2022",103,8605,50.03,0:07:50,5.309,212985,27820.8001,1078,2903803,4.88
5wRgWbKkZK4,The Era When Defensive Pokémon Strategies Were Overpowered,"Mar 20, 2024",101,7400,54.36,0:06:43,4.426,207669,23299.4999,281,2179147,6.52
mhv-fAW6Kf4,Ranking Every Starter Pokemon Based on Competitive Singles | Pokemon Showdown,"Jan 27, 2022",101,2556,44.49,0:05:13,3.331,75931,6615.1949,431,815476,6.77
2sBL_qX2H8E,The Tragic Fall of the Fighting Type in Competitive Monotype Pokemon,"Oct 17, 2022",99,6850,60.86,0:05:07,3.76,165763,14179.3102,712,1717308,7.07
MS0gp7ZVToI,What if Shedinja Was in Pokémon Scarlet and Violet?,"Nov 20, 2022",99,5748,63.14,0:03:09,2.274,213109,11213.8921,173,1810255,8.74
YyrKbn5-yP8,"How A ""Weak"" Pokémon Defied Power Creep","Sep 9, 2023",98,11194,61.63,0:05:07,3.952,267862,22881.0229,549,3236979,5.96
Hl-j_-drBM4,One Small Change RUINED Golem in Competitive Gen 1 Pokemon. Here's Why.,"Mar 12, 2022",97,8996,78.92,0:02:31,2.756,212029,8924.2957,1318,1686744,8.95
u3ywJvnwGd4,Why Are Gems Banned in Competitive Generation 5 Pokemon?,"Aug 15, 2022",97,7201,63.54,0:04:16,2.431,176765,12573.5329,683,1449304,8.78
1xDv5H9HmME,How to Beat Mewtwo in Competitive Generation 1 Pokemon,"Jul 7, 2022",96,4147,59.66,0:04:25,2.477,87689,6467.1862,277,769513,8.43
4eCgYdXpv1c,Why Was Gastly Banned in Competitive Little Cup Pokemon?,"Mar 29, 2022",96,6254,82.83,0:01:37,1.74,152565,4141.9177,508,854411,12.88
FTFUW4R6Kpg,Why Is Zoroark So Much Worse Than Hisuian-Zoroark?,"Apr 16, 2023",96,8525,63.07,0:03:57,2.475,247012,16314.2801,273,2525830,7.31
bRcCCtTrgBk,bAlAnCeD HaCkMoNs,"Dec 18, 2021",95,3418,47.12,0:02:44,1.305,126528,5796.9304,141,686039,13.42
uqR4MzNDf3Q,One Move BROKE Mew in Competitive 1v1 Pokemon. Here's Why.,"Apr 30, 2022",95,7389,73.41,0:03:01,2.692,162146,8166.9666,392,1123141,11.18
S57M-1yfANk,Pokemon's Weirdest Calculation,"Jan 24, 2022",93,13303,56.33,0:02:21,2.184,369729,14521.919,1196,2565836,10.01
ay_LevtKjGA,Why I Like Competitive Pokémon's Controversial New Rule,"Feb 25, 2023",93,3930,48.73,0:04:57,2.554,74869,6181.2574,232,623922,8.45
-5ep4B-ZRoQ,What if Good Bug Type Pokémon Got Sticky Web?,"Mar 31, 2024",92,3226,50.34,0:04:41,3.022,74463,5831.1075,42,613248,8.07
4XERg1dFrTI,Pokemon's Most Hated Moves,"Feb 25, 2024",92,4874,54.5,0:08:57,3.986,129938,19393.9515,182,1753662,4.46
jSfN-a7quMA,Why Annihilape is Dominating Competitive Singles Pokemon,"Nov 29, 2022",92,6376,50.49,0:04:34,4.417,218194,16645.8366,300,1931829,8.53
LVDrpLRKTok,Can You Nuzlocke Pokemon Platinum Without Evolving?,"Jul 20, 2022",90,8181,43.26,0:10:44,4.824,175713,31478.0438,861,3435355,3.33
Z8XYiSLQvtg,The 2023 National Dex Pokemon Showdown Controversy,"Feb 12, 2023",90,5827,63.58,0:05:33,2.641,160577,14860.8232,139,1509740,7.39
jlHUNrEVOW4,How Delibird Became an Overpowered Monster,"Nov 26, 2022",90,7105,59.01,0:03:48,3.029,214332,13595.828,322,1722460,9.57
JpH8hfdL0nI,The One Time Dragonair Was Overpowered in Competitive Pokemon,"Aug 23, 2022",89,11791,76.96,0:03:10,2.816,110834,5876.1865,663,943333,8.41
mBqkAuAWddQ,"The New Discovery of ""Invisible"" Pokemon is Insane...","Jul 31, 2023",89,7176,53.58,0:04:07,2.025,178404,12266.3736,142,1502268,8.49
FDoXVXlshFM,My Unexpected Pokémon Shocked Everyone in a Big Tournament,"Nov 4, 2023",87,11789,63.45,0:07:08,4.844,219902,26160.4685,2785,2965226,5.52
T2UEwzNK5G4,"No, Shell Smash Doesn't Make Torterra Top Tier Competitively","Sep 27, 2023",87,4685,54.84,0:05:32,3.551,115168,10648.8863,128,1042493,7.87
Lc3pF6B5EeI,I Used a Low Tier Sand Team in a Big Pokemon Tournament,"Oct 14, 2023",86,10792,63.37,0:07:54,4.231,162149,21377.1674,849,2361743,4.91
0qj7obBpMSw,What if Frostbite Replaced Freeze?,"Mar 31, 2022",83,6908,54.68,0:04:24,3.263,167839,12339.1618,305,1304043,9.17
EWEQd0rlGC4,Finally! The Fall of Toxapex in Competitive Singles Pokémon,"Nov 25, 2022",83,5158,61.12,0:04:54,4.758,146326,11950.3194,184,1618453,6.62
elSqq6Oddeo,Blood Moon Ursaluna is Ridiculous Competitively,"Sep 13, 2023",83,7448,53.72,0:04:32,2.634,203109,15365.5952,177,1404501,10.7
x7amfn_Rdb4,Why Nidoking Uses its Worse Stat,"Jan 19, 2022",83,8752,77.34,0:01:49,1.526,216818,6567.9643,828,1604022,9.5
xL5D_wD9n6M,Top 5 Ways to Crush Stall in Competitive Pokemon,"Aug 31, 2022",83,6624,50.53,0:05:47,4.105,169637,16381.5829,465,1792293,6.86
4ANsokCvwcY,"Blissey is ""OU By Technicality"" in Competitive Gen 5 Pokemon. Here's Why.","Feb 16, 2022",82,7074,71.85,0:02:49,2.524,195175,9193.4515,658,1382381,10.28
ewQOXwSFqSc,Why Caterpie's Move Was Banned in 2018,"Nov 20, 2023",82,6383,85.66,0:00:49,0.134,104546,1442.8507,36,749521,6.31
EB8zp6LhChY,Deoxys-Speed Uses a Choice Scarf in Competitive Gen 4 Ubers Pokemon. Here's Why.,"May 2, 2022",81,6713,70.32,0:03:18,2.321,161696,8907.1197,1028,1019683,11.48
aNwt0bFB_7Q,"A Pokemon Black Nuzlocke, But I Can't Evolve","Nov 17, 2022",81,7024,44.84,0:12:54,4.883,138664,29847.8358,832,2697287,3.31
HuxXGX2eWAw,Physical Attackers MUST Be Male in Competitive Gen 2 Pokemon. Here's Why.,"Feb 18, 2022",80,5855,82.04,0:01:11,1.722,136405,2704.3867,656,785262,12.26
hSm9bgY8pHw,Why Was Mega Rayquaza Banned From Competitive Ubers Pokemon?,"Feb 19, 2022",80,8252,82.53,0:01:37,1.457,262880,7111.6668,363,2151456,9.1
DCuifJzsulw,Pokemon FireRed But I Can't Evolve,"Jun 29, 2022",79,7923,48.76,0:12:28,4.986,135194,28124.2583,1599,2609958,3.27
aR5y2Ifp8qE,The Most Used Legendaries in Competitive Pokémon,"Jan 30, 2024",79,5028,53,0:08:03,3.493,141991,19084.7377,198,2032493,4.96
35ocGZ0pi7U,I Used A Forgotten Legendary Pokemon in a Big Pokemon Tournament,"Oct 29, 2023",78,6376,54.26,0:05:16,2.77,183824,16153.0297,383,2486690,5.47
dAfz8Et0OxI,When Mega Evolutions Crowded Competitive Pokemon's Worst Tier,"May 31, 2022",77,7578,65.48,0:03:57,2.609,201305,13254.5486,241,1476977,10.32
q-xotF-kv_Y,This Pokémon Trade Went Horribly Wrong,"Feb 20, 2024",77,8930,102.66,0:00:50,0.124,128547,1801.4958,42,254086,4.46
hzkePhc76JQ,"Why a Support Pokémon Is Being Called ""Overpowered""","Oct 31, 2023",76,5814,49.59,0:04:46,3.536,146363,11652.4116,199,1303593,9.06
noK9eWkimoY,How Chandelure was ALMOST Overpowered in Competitive Pokemon,"May 20, 2022",76,6415,60.7,0:04:59,3.847,153472,12756.7023,549,1388192,8.11
H9pH1osd42I,The Move Assist is Banned in Competitive Gen 5. Here's Why.,"Jan 22, 2022",75,7848,74.05,0:02:25,2.132,201845,8137.33,921,1597176,8.73
XMjmeZmJmyE,How Hyper Beam Saved His Tournament,"May 15, 2024",75,8719,96.7,0:00:53,0.138,120334,1777.8204,70,630159,4.43
dDC8yFdQKho,Top 5 Pokemon Good in VGC BUT NOT in Singles (Series 1),"Jan 15, 2023",75,4932,56.61,0:05:45,2.179,128364,12312.9577,120,1330343,6.94
u1SWAAGo6vo,Miltank Uses GROWL in Competitive Gen 2 Pokemon. Here's Why.,"Jan 30, 2022",74,5642,81.47,0:01:28,1.356,143164,3531.6088,1016,1134071,8.6
